品牌,车型,价格,年份,里程,燃料类型,变速器,车辆类型,数据来源,所在城市,车龄,价格区间,里程区间,排量
思域,思域 2023款 2.0L e:HEV 锐力版,6.9,2023,69000,电动,自动,轿车,车168,北京,1,10万以下,5-10万公里,2.0
奔驰,奔驰GLA(进口) 2015款 GLA 260 4MATIC,10.0,2015,100000,汽油,自动,SUV,车168,北京,9,10-20万,10万公里以上,0.0
奥迪,奥迪A8 2012款 A8L 50 TFSI quattro豪华型,17.0,2012,170000,汽油,自动,SUV,车168,北京,12,10-20万,10万公里以上,8.0
马自达,马自达6 2008款 2.0L 自动超豪华型,15.0,2008,150000,汽油,自动,轿车,车168,北京,16,10-20万,10万公里以上,2.0
雅阁,雅阁 2015款 3.0L VTI 尊贵版,13.6,2015,136000,汽油,自动,轿车,车168,北京,9,10-20万,10万公里以上,3.0
Cayenne,Cayenne 2011款 Cayenne 3.0T,18.0,2011,180000,汽油,自动,轿车,车168,北京,13,10-20万,10万公里以上,3.0
奔驰,奔驰S级 2011款 S 350 L CGI,18.0,2011,180000,汽油,自动,轿车,车168,北京,13,10-20万,10万公里以上,0.0
揽胜极光(进口),揽胜极光(进口) 2013款 2.0T 5门耀动版,15.9,2013,159000,汽油,自动,轿车,车168,北京,11,10-20万,10万公里以上,2.0
英菲尼迪,英菲尼迪FX 2009款 FX35 超越版,14.0,2009,140000,汽油,自动,SUV,车168,北京,15,10-20万,10万公里以上,0.0
宝马,宝马X6 2011款 xDrive35i,16.0,2011,160000,汽油,自动,SUV,车168,北京,13,10-20万,10万公里以上,0.0
宝马,宝马5系 2014款 520Li 典雅型,16.0,2014,160000,汽油,自动,轿车,车168,北京,10,10-20万,10万公里以上,0.0
Cayenne,Cayenne 2018款 Cayenne 3.0T,7.3,2018,73000,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,3.0
奔驰,奔驰GLK级 2013款 改款 GLK 300 4MATIC 时尚型,14.7,2013,147000,汽油,自动,SUV,车168,北京,11,10-20万,10万公里以上,0.0
途达,途达 2018款 2.5L 自动四驱豪华版,11.0,2018,110000,汽油,自动,轿车,车168,北京,6,10-20万,10万公里以上,2.5
别克,别克GL8 2014款 3.0L GT豪华商务豪雅版,16.0,2014,160000,汽油,自动,SUV,车168,北京,10,10-20万,10万公里以上,3.0
宝马,宝马5系 2018款 528Li 上市特别版,8.9,2018,89000,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,0.0
奔驰,奔驰E级 2020款 改款 E 300 L 运动殊享版,8.7,2020,87000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
宝马,宝马5系(进口) 2018款 525i M运动套装,5.0,2018,50000,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,0.0
众泰,众泰T300 2017款 1.5L 手动尊享型,5.0,2017,50000,汽油,手动,轿车,车168,北京,7,10万以下,5-10万公里,1.5
奔驰,奔驰B级 2009款 B 200 时尚型,17.6,2009,175700,汽油,自动,轿车,车168,北京,15,10-20万,10万公里以上,0.0
捷途X70,捷途X70 PLUS 2021款 1.6T DCT星 7座,6.0,2021,60000,汽油,双离合,SUV,车168,北京,3,10万以下,5-10万公里,1.6
帝豪,帝豪 2025款 第4代 1.5L CVT旗舰型,0.3,2025,3000,汽油,CVT,轿车,车168,北京,-1,10万以下,1万公里以下,1.5
红旗,红旗HS5 2023款 2.0T 旗悦Pro版,4.0,2023,40000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,2.0
MG5,MG5 2023款 180DVVT CVT豪华版,0.3,2023,3000,汽油,CVT,轿车,车168,北京,1,10万以下,1万公里以下,0.0
朗逸,朗逸 2023款 新锐 1.5L 自动新愿版,1.4,2023,14000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,1.5
宝马,宝马1系 2021款 120i M运动版,6.0,2021,60000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
星瑞,星瑞 2023款 1.5TD 扶摇版,1.1,2023,10800,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,1.5
理想,理想L9 2024款 Ultra,1.2,2024,12000,电动,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
远景,远景 2020款 1.5L CVT亚运版,4.0,2020,40000,汽油,CVT,轿车,车168,北京,4,10万以下,3-5万公里,1.5
奔驰,奔驰C级 2018款 C 180 L 时尚型运动版,8.9,2018,88800,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,0.0
迈巴赫S级,迈巴赫S级 2015款 S 400 4MATIC,18.0,2015,180000,汽油,自动,轿车,车168,北京,9,10-20万,10万公里以上,0.0
奔驰,奔驰E级 2024款 E 260 L 4MATIC,3.0,2024,30000,汽油,自动,轿车,车168,北京,0,10万以下,3-5万公里,0.0
奔驰,奔驰E级 2021款 改款 E 300 L 运动时尚型,7.8,2021,78000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
奥迪,奥迪A4L 2019款 40 TFSI 时尚型 国VI,12.1,2019,120600,汽油,自动,轿车,车168,北京,5,10-20万,10万公里以上,4.0
坦克500新能源,坦克500新能源 2025款 Hi4-Z,0.7,2025,7000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
坦克500新能源,坦克500新能源 2024款 Hi4-T,0.1,2024,1000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
奥迪,奥迪A4L 2024款 40 TFSI 豪华动感型,0.4,2024,4000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,4.0
哈弗H2,哈弗H2 2018款 1.5T 双离合两驱时尚型 国VI,4.9,2018,48700,汽油,双离合,轿车,车168,北京,6,10万以下,3-5万公里,1.5
别克,别克GL8 2021款 ES陆尊 653T 尊享型,11.0,2021,110000,汽油,自动,SUV,车168,北京,3,10-20万,10万公里以上,0.0
红旗,红旗H5 2019款 30TD 智联韵动版,10.0,2019,100000,汽油,自动,轿车,车168,北京,5,10-20万,10万公里以上,0.0
现代,北京现代ix25 2020款 1.5L CVT GLS智能型,3.6,2020,36000,汽油,CVT,SUV,车168,北京,4,10万以下,3-5万公里,1.5
帕萨特,帕萨特 2014款 1.8TSI DSG御尊导航版,15.0,2014,150000,汽油,自动,轿车,车168,北京,10,10-20万,10万公里以上,1.8
牧马人,牧马人 2024款 2.0T 撒哈拉四门版,1.3,2024,13000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,2.0
法拉利,法拉利488 2015款 488 GTB,0.7,2015,7000,汽油,自动,轿车,车168,北京,9,10万以下,1万公里以下,0.0
奔驰,奔驰GLS 2021款 改款 GLS 450 4MATIC 时尚型,8.8,2021,88000,汽油,自动,SUV,车168,北京,3,10万以下,5-10万公里,0.0
揽胜,揽胜 2020款 3.0 L6 盛世版,12.0,2020,120000,汽油,自动,轿车,车168,北京,4,10-20万,10万公里以上,0.0
发现,发现 2023款 360PS R-Dynamic S,5.8,2023,58000,汽油,自动,轿车,车168,北京,1,10万以下,5-10万公里,0.0
角斗士,角斗士 2023款 3.6L Overland,2.9,2023,29000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,3.6
天籁,天籁 2016款 公爵 2.5L XV 尊享版,12.0,2016,120000,汽油,自动,SUV,车168,北京,8,10-20万,10万公里以上,2.5
大众,一汽-大众CC 2020款 330TSI 魅颜版 国VI,6.2,2020,62000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
雅阁,雅阁 2018款 260TURBO 精英版 国V,8.7,2018,87000,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,0.0
速腾,速腾 2023款 280TSI DSG超越Plus版,4.4,2023,44000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
宝马,宝马5系 2017款 525Li 豪华设计套装,11.0,2017,110000,汽油,自动,轿车,车168,北京,7,10-20万,10万公里以上,0.0
途观L,途观L 2019款 330TSI 自动两驱全景舒适版 国VI,6.5,2019,64900,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
汉兰达,汉兰达 2015款 2.0T 两驱精英版 5座,10.2,2015,102000,汽油,自动,轿车,车168,北京,9,10-20万,10万公里以上,2.0
宏光MINIEV,宏光MINIEV 2025款 四门版 臻享款,0.4,2025,4500,电动,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
揽胜星脉,揽胜星脉 2024款 Dynamic SE,0.7,2024,7000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
宝马,宝马X5(进口) 2011款 xDrive35i 豪华型,21.0,2011,210000,汽油,自动,SUV,车168,北京,13,20-30万,10万公里以上,0.0
兰德酷路泽(进口),兰德酷路泽(进口) 2017款 4.0L 自动,2.0,2017,20000,汽油,自动,轿车,车168,北京,7,10万以下,1-3万公里,4.0
宝马,宝马X5(进口) 2021款 xDrive40i 尊享型 M运动套装,4.4,2021,44000,汽油,自动,SUV,车168,北京,3,10万以下,3-5万公里,0.0
坦克500新能源,坦克500新能源 2025款 Hi4-Z,0.1,2025,1000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
揽胜极光,揽胜极光 2023款 极光L 249PS 奢享版,2.7,2023,27000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
奔驰,奔驰GLS 2023款 GLS 450 美规版,4.0,2023,40000,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,0.0
奥迪,奥迪Q5L 2023款 40T 豪华动感型,3.3,2023,33000,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,5.0
揽胜,揽胜 2023款 3.0 L6 400PS 盛世加长版,3.2,2023,32100,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
问界M9,问界M9 2024款 增程 Ultra版 42kWh 6座版,2.4,2024,24000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
沃尔沃,沃尔沃S90 2025款 B5 智雅豪华版,0.1,2025,1000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
雷克萨斯,雷克萨斯LM 2023款 350h 七座隽雅版,2.5,2023,25000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
威尔法,威尔法 2024款 皇冠 双擎 2.5L 至尊行政版,1.8,2024,18000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,2.5
宝马,宝马7系 2021款 740Li 领先型 M运动套装,7.0,2021,70000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
奔驰,奔驰GLA AMG 2021款 AMG GLA 35 4MATIC,4.2,2021,42000,汽油,自动,SUV,车168,北京,3,10万以下,3-5万公里,0.0
迈巴赫GLS,迈巴赫GLS 2022款 GLS 480 4MATIC,8.0,2022,80000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
迈巴赫S级,迈巴赫S级 2022款 S 480 4MATIC 智臻特别版,3.0,2022,30000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
迈巴赫S级,迈巴赫S级 2024款 S 480 4MATIC,2.5,2024,25000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
奔驰,奔驰S级 2023款 S 400 L 豪华型,6.6,2023,66000,汽油,自动,轿车,车168,北京,1,10万以下,5-10万公里,0.0
迈巴赫GLS,迈巴赫GLS 2022款 GLS 480 4MATIC,6.4,2022,64000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
雷克萨斯,雷克萨斯ES 2020款 260 卓越版 国V,7.3,2020,73000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
雷克萨斯,雷克萨斯RX 2016款 450h 四驱豪华版,25.4,2016,254200,汽油,自动,SUV,车168,北京,8,20-30万,10万公里以上,0.0
雷克萨斯,雷克萨斯UX 2020款 改款 200 F SPORT版,5.2,2020,52100,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2017款 改款 C 200 运动版,9.9,2017,99000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,0.0
Model,Model X 2020款 长续航升级版,5.0,2020,50000,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,0.0
smart,smart forfour 2018款 0.9T 66千瓦先锋版,1.7,2018,17000,汽油,自动,轿车,车168,北京,6,10万以下,1-3万公里,0.9
保时捷,保时捷911 2010款 Targa 4 3.6L,4.5,2010,45300,汽油,自动,轿车,车168,北京,14,10万以下,3-5万公里,3.6
Cayenne,Cayenne 2018款 Cayenne 3.0T,11.6,2018,116199,汽油,自动,轿车,车168,北京,6,10-20万,10万公里以上,3.0
奔驰,奔驰E级 2023款 E 300 L 时尚型,4.0,2023,40100,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
揽胜极光,揽胜极光 2021款 极光L 249PS R-Dynamic S 性能版,3.6,2021,36300,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
宝马,宝马i5 2024款 eDrive 35L 尊享型 豪华套装,1.6,2024,16000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
宝马,宝马3系 2024款 320Li M运动套装,1.2,2024,12000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
奥迪,奥迪A7L 2025款 55 TFSI quattro 黑武士版,0.4,2025,3600,汽油,自动,SUV,车168,北京,-1,10万以下,1万公里以下,7.0
宝马,宝马1系 2022款 125i M运动曜夜版,4.7,2022,47000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
奥迪,奥迪A4L 2020款 40 TFSI 豪华致雅型,6.4,2020,63600,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,4.0
宝马,宝马X3 2022款 xDrive25i M运动套装,3.3,2022,33000,汽油,自动,SUV,车168,北京,2,10万以下,3-5万公里,0.0
捷豹,捷豹XFL 2017款 XFL 2.0T 200PS 精英版,8.0,2017,80000,汽油,自动,SUV,车168,北京,7,10万以下,5-10万公里,2.0
保时捷,保时捷911 2018款 GT3 RS 4.0L,2.6,2018,26000,汽油,自动,轿车,车168,北京,6,10万以下,1-3万公里,4.0
Cayenne,Cayenne 2019款 Cayenne 3.0T,2.8,2019,27500,汽油,自动,轿车,车168,北京,5,10万以下,1-3万公里,3.0
Cayenne,Cayenne 2019款 Cayenne 3.0T,13.3,2019,133000,汽油,自动,轿车,车168,北京,5,10-20万,10万公里以上,3.0
保时捷,保时捷718 2022款 Boxster 2.0T,2.1,2022,21300,汽油,自动,SUV,车168,北京,2,10万以下,1-3万公里,2.0
Cayenne,Cayenne 2018款 Cayenne 3.0T,10.0,2018,100000,汽油,自动,轿车,车168,北京,6,10-20万,10万公里以上,3.0
皇冠,皇冠 2017款 2.0T 运动版,9.3,2017,93000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,2.0
雅阁,雅阁 2022款 260TURBO 幻夜・尊贵版,5.3,2022,53000,汽油,自动,轿车,车168,北京,2,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2019款 C 260 运动版,6.5,2019,65000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
星越L,星越L 2024款 2.0TD 高功自动两驱天际版,1.1,2024,11000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,2.0
飞行家,飞行家 2024款 3.0T V6 四驱奢雅版 六座,0.8,2024,8000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,3.0
宝马,宝马3系 2025款 330Li M运动曜夜套装,0.6,2025,6000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
奔驰,奔驰S级 2023款 S 450 L 4MATIC,2.4,2023,24000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
奔驰,奔驰V级 2022款 V 260 L 长轴距豪华版,3.1,2022,30800,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
奔驰,奔驰E级 2020款 改款 E 300 L 时尚型,3.7,2020,37000,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,0.0
奔驰,奔驰C级 2020款 改款 C 260 L 运动版,5.3,2020,53000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
雷克萨斯,雷克萨斯ES 2021款 200 卓越版,4.2,2021,42000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
领克,领克06 2020款 1.5T 耀Halo,8.8,2020,88000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,1.5
途乐,途乐 2023款 ARMADA 5.6L 无敌舰队旗舰版,4.5,2023,45000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,5.6
Cayenne,Cayenne 2019款 Cayenne 3.0T,6.6,2019,66000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,3.0
奔驰,奔驰GLS 2020款 GLS 450 4MATIC 动感型,10.0,2020,100000,汽油,自动,SUV,车168,北京,4,10-20万,10万公里以上,0.0
宝马,宝马X5 2022款 改款 xDrive 40Li M运动套装,5.3,2022,53000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
迈巴赫GLS,迈巴赫GLS 2021款 GLS 600 4MATIC 礼乐版,8.6,2021,86000,汽油,自动,SUV,车168,北京,3,10万以下,5-10万公里,0.0
奔驰,奔驰S级 2023款 S 500 L 4MATIC,1.4,2023,14000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
奔驰,奔驰S级 2021款 S 450 L 4MATIC,3.9,2021,39000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
奔驰,奔驰S级 2022款 S 400 L 豪华型,3.3,2022,33400,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
途观L,途观L 2019款 330TSI 自动两驱全景舒适版 国VI,6.0,2019,60000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
理想,理想L9 2024款 Ultra,1.0,2024,10000,电动,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
腾势N9,腾势N9 2025款 旗舰型,0.5,2025,4900,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
奔驰,奔驰GLC 2024款 改款 GLC 300 L 4MATIC 动感型 5座,2.1,2024,21000,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,0.0
奔驰,奔驰GLC 2022款 GLC 300 L 4MATIC 动感型,7.9,2022,79000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
理想,理想L8 2024款 Max,0.8,2024,8000,电动,自动,SUV,车168,北京,0,10万以下,1万公里以下,0.0
奔驰,奔驰S级 2023款 S 450 L 4MATIC,4.4,2023,44000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
YARiS,YARiS L 致炫 2022款 致炫X 1.5L CVT领先PLUS版,4.4,2022,44000,汽油,CVT,SUV,车168,北京,2,10万以下,3-5万公里,1.5
腾势Z9GT,腾势Z9GT 2024款 1100四驱Ultra版,1.2,2024,12000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
奔驰,奔驰S级 2024款 S 400 L 豪华型,0.7,2024,6800,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
奔驰,奔驰S级 2022款 改款 S 450 L 4MATIC,4.2,2022,42000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
奔驰,奔驰S级 2021款 改款 S 400 L 商务型,2.3,2021,23000,汽油,自动,轿车,车168,北京,3,10万以下,1-3万公里,0.0
仰望U8,仰望U8 2024款 越野玩家版,0.8,2024,8000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
奔驰,奔驰M级 2014款 ML 320 4MATIC,16.4,2014,163790,汽油,自动,轿车,车168,北京,10,10-20万,10万公里以上,0.0
奔驰,奔驰GLB 2020款 GLB 200 动感型,8.3,2020,83000,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,0.0
奔驰,奔驰A级 2019款 A 200 L 运动轿车,7.6,2019,76200,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2019款 改款 C 260 L 运动版,6.7,2019,67000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2019款 改款 C 260 L 运动版,4.7,2019,47000,汽油,自动,轿车,车168,北京,5,10万以下,3-5万公里,0.0
奔驰,奔驰C级 2023款 C 200 L 运动版,2.7,2023,27400,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
奔驰,奔驰C级 2018款 C 180 L 时尚型运动版,13.1,2018,131000,汽油,自动,轿车,车168,北京,6,10-20万,10万公里以上,0.0
奔驰,奔驰GLC 2022款 GLC 260 L 4MATIC 豪华型,8.7,2022,87000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
奔驰,奔驰A级 2021款 A 200 L 运动轿车时尚型,3.7,2021,37000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
奔驰,奔驰S级 2024款 S 400 L 商务型,6.8,2024,68000,汽油,自动,轿车,车168,北京,0,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2023款 改款二 C 260 L 皓夜运动版,3.6,2023,36000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
奔驰,奔驰C级 2024款 C 260 L 运动版,2.5,2024,25000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
奔驰,奔驰A级 2023款 A 200 L 时尚型,3.5,2023,35400,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
奔驰,奔驰GLA 2016款 GLA 200 时尚型,6.3,2016,63000,汽油,自动,SUV,车168,北京,8,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2018款 C 200 L 运动版,10.6,2018,106000,汽油,自动,轿车,车168,北京,6,10-20万,10万公里以上,0.0
奔驰,奔驰GLB 2022款 GLB 200 动感型,5.3,2022,53000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
奔驰,奔驰GLC 2019款 GLC 260 L 4MATIC 动感型,2.2,2019,22000,汽油,自动,SUV,车168,北京,5,10万以下,1-3万公里,0.0
AMG,AMG GT 2023款 AMG GT 50 四门跑车,0.7,2023,7400,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,0.0
奔驰,奔驰GLB 2021款 GLB 180 动感型,8.0,2021,80100,汽油,自动,SUV,车168,北京,3,10万以下,5-10万公里,0.0
奔驰,奔驰B级 2021款 B 200 时尚型,2.6,2021,25600,汽油,自动,轿车,车168,北京,3,10万以下,1-3万公里,0.0
奔驰,奔驰A级AMG 2024款 改款 AMG A 35 L 4MATIC,0.4,2024,4000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
奔驰,奔驰C级 2022款 C 260 L 运动版,6.8,2022,68000,汽油,自动,轿车,车168,北京,2,10万以下,5-10万公里,0.0
奔驰,奔驰GLA AMG 2021款 AMG GLA 35 4MATIC,4.5,2021,45000,汽油,自动,SUV,车168,北京,3,10万以下,3-5万公里,0.0
奔驰,奔驰GLC 2022款 改款三 GLC 300 L 4MATIC 豪华型,3.9,2022,39000,汽油,自动,SUV,车168,北京,2,10万以下,3-5万公里,0.0
奔驰,奔驰S级 2022款 S 450 L 4MATIC,6.9,2022,69400,汽油,自动,轿车,车168,北京,2,10万以下,5-10万公里,0.0
奔驰,奔驰GLS 2023款 GLS 450 4MATIC 豪华型,4.3,2023,42600,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,0.0
奔驰,奔驰GLC 2022款 GLC 260 L 4MATIC 豪华型,6.2,2022,62400,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2024款 C 200 L 运动版,1.0,2024,10000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
奔驰,奔驰C级 2023款 改款二 C 260 L 皓夜运动版,1.9,2023,18700,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
奔驰,奔驰C级 2021款 C 260 L 运动版,1.1,2021,10700,汽油,自动,轿车,车168,北京,3,10万以下,1-3万公里,0.0
皇冠,皇冠 2017款 2.0T 运动版,12.0,2017,120000,汽油,自动,轿车,车168,北京,7,10-20万,10万公里以上,2.0
皇冠,皇冠 2017款 2.0T 运动版,9.8,2017,98000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,2.0
雅阁,雅阁 2024款 260TURBO 豪华版,3.4,2024,34000,汽油,自动,轿车,车168,北京,0,10万以下,3-5万公里,0.0
小鹏,小鹏P7 2022款 586E,5.8,2022,58000,电动,自动,轿车,车168,北京,2,10万以下,5-10万公里,0.0
RAV4荣放,RAV4荣放 2023款 2.0L CVT两驱风尚Plus版,1.8,2023,18000,汽油,CVT,SUV,车168,北京,1,10万以下,1-3万公里,2.0
海豚,海豚 2021款 405km 自由版,2.1,2021,21000,汽油,自动,轿车,车168,北京,3,10万以下,1-3万公里,0.0
发现,发现 2016款 3.0 SC 曜黑典藏版 SE,26.0,2016,260000,汽油,自动,轿车,车168,北京,8,20-30万,10万公里以上,0.0
普拉多,普拉多 2019款 3.5L 自动TX-L尊享版后挂备胎,12.9,2019,129000,汽油,自动,SUV,车168,北京,5,10-20万,10万公里以上,3.5
威霆,威霆 2018款 2.0T 商务版 国VI,6.9,2018,69000,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,2.0
别克,别克GL8 2023款 陆上公务舱 652T 豪华型,6.7,2023,67000,汽油,自动,SUV,车168,北京,1,10万以下,5-10万公里,0.0
宝马,宝马7系 2013款 740Li xDrive,18.0,2013,180000,汽油,自动,SUV,车168,北京,11,10-20万,10万公里以上,0.0
坦克500新能源,坦克500新能源 2025款 Hi4-Z,0.8,2025,8000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
别克,别克GL8 2023款 ES陆尊 舒适型,1.8,2023,18000,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
奥德赛,奥德赛 2015款 改款 2.4L 智享版,10.1,2015,101000,汽油,自动,轿车,车168,北京,9,10-20万,10万公里以上,2.4
沃尔沃,沃尔沃XC60 2024款 B5 四驱智远豪华版,1.2,2024,12000,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,0.0
长安,长安UNI-V 2022款 1.5T 运动版,4.9,2022,49000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,1.5
长安,长安UNI-V 2022款 1.5T 尊贵型,2.2,2022,22300,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,1.5
伊兰特,伊兰特 2022款 1.5L CVT LUX尊贵版,1.8,2022,18000,汽油,CVT,SUV,车168,北京,2,10万以下,1-3万公里,1.5
马自达,马自达3 昂克赛拉 2021款 1.5L 自动质悦版,1.7,2021,17200,汽油,自动,轿车,车168,北京,3,10万以下,1-3万公里,1.5
高尔夫,高尔夫 2021款 280TSI DSG R-Line,3.3,2021,33000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
卡罗拉,卡罗拉 2022款 1.2T S-CVT先锋PLUS版,1.5,2022,15000,汽油,CVT,轿车,车168,北京,2,10万以下,1-3万公里,1.2
奔驰,奔驰V级 2024款 V 300 L 长轴距豪华版,1.0,2024,10000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
奔驰,奔驰S级 2019款 S 450 L 4MATIC 臻藏版,12.5,2019,125000,汽油,自动,轿车,车168,北京,5,10-20万,10万公里以上,0.0
迈巴赫S级,迈巴赫S级 2025款 S 480 4MATIC,0.4,2025,4000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
古思特,古思特 2022款 6.7T Black Badge,0.2,2022,2000,汽油,自动,轿车,车168,北京,2,10万以下,1万公里以下,6.7
宝马,宝马5系 2018款 530Li 领先型 M运动套装,8.9,2018,89000,汽油,自动,轿车,车168,北京,6,10万以下,5-10万公里,0.0
